PROLIFIC_PID,DemW10_R1,DemW18_R1,DemM6,DemM7,DemW3,prlfc_dem_age,DemC5,DemC8,DemC9,DemC23
5c8c5ca067dd930001663756,1.0,3.0,3.0,4.0,27.0,57.0,2.0,2.0,5.0,4.0
5c75419284e176001254c7a5,1.0,3.0,2.0,4.0,9.0,39.0,1.0,2.0,5.0,5.0
5c3a925919ceb400010c9344,2.0,1.0,1.0,6.0,5.0,19.0,1.0,2.0,5.0,3.0
5decf29428cb0b3b5206cf2a,1.0,5.0,1.0,7.0,17.0,43.0,2.0,2.0,5.0,5.0
5c793a4d8fbcb100016b7717,1.0,1.0,3.0,2.0,21.0,19.0,1.0,2.0,5.0,2.0
5e70139675ec140dc18c14d1,1.0,1.0,1.0,5.0,9.0,18.0,1.0,2.0,5.0,3.0
5d67d4393fcbbc0019f3e1a4,1.0,1.0,1.0,5.0,5.0,32.0,2.0,3.0,6.0,2.0
5e29d24605043a02e9043472,1.0,3.0,1.0,5.0,9.0,42.0,2.0,2.0,5.0,6.0
5e19c8d1477f3b24e0ac5efa,2.0,1.0,3.0,4.0,43.0,19.0,2.0,1.0,6.0,3.0
5e72cb561b6e9c21954bd7da,1.0,2.0,2.0,3.0,43.0,21.0,2.0,2.0,2.0,5.0
5a73899f9cdd1800017786f0,1.0,3.0,2.0,4.0,49.0,33.0,1.0,2.0,5.0,2.0
58cbd23d5d42920001414dd8,1.0,5.0,3.0,4.0,23.0,52.0,1.0,2.0,5.0,5.0
5e70f55b7f25f20763294e4c,2.0,2.0,2.0,2.0,22.0,18.0,1.0,2.0,5.0,3.0
5da5218984d0080016fd41d8,1.0,1.0,4.0,1.0,37.0,29.0,2.0,2.0,5.0,3.0
5be1cda184a0cc000170fd51,2.0,1.0,1.0,5.0,9.0,53.0,1.0,2.0,5.0,5.0
5c2a44bf10677f0001dc4975,3.0,7.0,3.0,3.0,13.0,62.0,2.0,2.0,5.0,6.0
5dd693079b66eb6239a03163,2.0,1.0,4.0,5.0,49.0,51.0,1.0,2.0,5.0,3.0
