PROLIFIC_PID,DemW10_R1,DemW18_R1,DemM6,DemM7,DemW3,prlfc_dem_age,DemC5,DemC8,DemC9
5e13cec37dd477a1d7953b68,1.0,1.0,3.0,2.0,30.0,20.0,2.0,2.0,6.0
5a60237c76d1c60001ab8945,1.0,1.0,2.0,2.0,9.0,36.0,2.0,2.0,5.0
5bfce094aa5fa30001364b46,1.0,1.0,2.0,2.0,32.0,43.0,2.0,2.0,5.0
5cbb2f0403229d0001bbecc3,1.0,4.0,1.0,6.0,22.0,55.0,2.0,2.0,5.0
5e8244ac09f1af094e7373e0,2.0,1.0,2.0,2.0,37.0,22.0,1.0,2.0,5.0
5da3dfbcbbbc120019e083ee,2.0,1.0,1.0,7.0,20.0,40.0,1.0,2.0,5.0
5e723ffcc1c46a022a71a6dd,2.0,1.0,2.0,1.0,38.0,31.0,2.0,2.0,5.0
5e5ec4b603a4721fa9447858,2.0,1.0,2.0,2.0,23.0,26.0,2.0,2.0,4.0
5e14ab383ccda2aaf0e0f824,1.0,1.0,2.0,1.0,14.0,21.0,2.0,1.0,5.0
5e26341c63251a881e185ecf,2.0,1.0,2.0,1.0,33.0,46.0,2.0,2.0,5.0
5b8375c216aa4400016added,2.0,1.0,3.0,2.0,11.0,30.0,2.0,2.0,2.0
5e700047b3d2255e3c172af2,2.0,1.0,2.0,2.0,37.0,25.0,2.0,2.0,5.0
5d32254ab202db00014d5d31,1.0,1.0,1.0,5.0,42.0,48.0,2.0,2.0,5.0
5dc6917d2865554b3c64ffe3,1.0,1.0,3.0,2.0,18.0,45.0,1.0,1.0,6.0
5e0317ef5cc380e6f11cd949,1.0,1.0,2.0,2.0,22.0,27.0,1.0,2.0,5.0
5ae12548dee8590001b08925,1.0,1.0,2.0,3.0,30.0,44.0,2.0,2.0,4.0
5e2912f40188050e1145e311,1.0,1.0,2.0,1.0,5.0,22.0,2.0,2.0,5.0
5e435c363641531e7d8eec48,2.0,1.0,2.0,4.0,32.0,27.0,1.0,2.0,2.0
5dd86824e05cad81fce52dac,1.0,5.0,2.0,2.0,35.0,33.0,2.0,2.0,5.0
5dd2441687c1fd266f9457f6,1.0,2.0,2.0,1.0,27.0,18.0,2.0,2.0,5.0
5d1b88dd6fb351001b70ae41,1.0,5.0,1.0,5.0,22.0,31.0,2.0,2.0,5.0
5e500ab1ec45d305b6b82d9f,2.0,1.0,2.0,2.0,48.0,29.0,2.0,2.0,5.0
5b0c4e2a641b1200010ee2d4,2.0,1.0,4.0,5.0,13.0,56.0,1.0,2.0,5.0
5cf1f164fb05610017de2327,1.0,1.0,3.0,4.0,5.0,23.0,1.0,2.0,6.0
5e6e8c2f3c76d24494af3c22,1.0,1.0,1.0,6.0,3.0,27.0,1.0,2.0,5.0
5b25e250a7cee100011d91fc,2.0,1.0,3.0,3.0,22.0,26.0,1.0,2.0,5.0
5e846b1a3e3e9c0008cb278a,1.0,1.0,3.0,5.0,13.0,34.0,1.0,1.0,6.0
5dded5423c870ae417c1a468,2.0,1.0,2.0,1.0,47.0,57.0,2.0,2.0,5.0
5e3e01d5194a5607f3335fa3,1.0,3.0,4.0,4.0,35.0,48.0,2.0,2.0,5.0
5694f1d9e0c800000b5a38d2,1.0,1.0,2.0,2.0,33.0,53.0,1.0,2.0,5.0
5e77e567a50439354b80a269,1.0,3.0,2.0,5.0,47.0,23.0,1.0,2.0,2.0
5a416b5fee927b0001e1d5ae,1.0,3.0,2.0,1.0,43.0,30.0,2.0,2.0,5.0
59f21fe8cc514a00011a66cf,1.0,1.0,4.0,6.0,3.0,44.0,2.0,2.0,5.0
5a7a82058fe2dc00010599c0,2.0,1.0,3.0,3.0,38.0,27.0,1.0,2.0,5.0
5e78d6a1e1f94646342ff633,1.0,2.0,2.0,3.0,49.0,21.0,1.0,2.0,2.0
5dc86f46292aaa5da9d04d55,1.0,2.0,3.0,1.0,36.0,35.0,1.0,3.0,6.0
5e424d35109b470e70cf8cd2,1.0,3.0,2.0,1.0,32.0,20.0,1.0,1.0,5.0
5e52c2053b69c32d5e370d07,1.0,2.0,2.0,2.0,14.0,32.0,1.0,2.0,5.0
5d446e139e66b9001977d99c,1.0,2.0,2.0,2.0,48.0,43.0,2.0,2.0,5.0
5bc9206a66d04800015cf314,1.0,1.0,1.0,6.0,17.0,35.0,1.0,2.0,5.0
5e83a246de96140e1197339b,2.0,7.0,1.0,6.0,5.0,24.0,1.0,2.0,2.0
5a13e58baac54e00011ac832,1.0,1.0,2.0,2.0,9.0,36.0,2.0,2.0,5.0
5e4343d28dd7b51e2babcaeb,1.0,5.0,2.0,3.0,32.0,27.0,1.0,2.0,4.0
5e2de24543f2a8000d0cf1a4,1.0,3.0,2.0,1.0,17.0,30.0,2.0,2.0,5.0
5c24ba7017d86a00017d2969,1.0,3.0,3.0,3.0,43.0,55.0,2.0,2.0,5.0
5e52de8543a1fb2fdea19f70,1.0,2.0,2.0,1.0,3.0,29.0,2.0,2.0,5.0
5dcb1db49173807fc66660cb,1.0,3.0,2.0,1.0,5.0,23.0,2.0,1.0,6.0
5a435c4c56ec1100014a2759,1.0,4.0,2.0,2.0,43.0,29.0,1.0,2.0,6.0
5aad26a554f40d0001d1c575,1.0,3.0,3.0,4.0,5.0,32.0,1.0,2.0,5.0
5e51bf1e1f03c41f64664294,1.0,5.0,1.0,5.0,9.0,36.0,1.0,2.0,5.0
5e702661ff04d660078e2be3,1.0,2.0,2.0,2.0,5.0,21.0,1.0,2.0,6.0
5aee513f3606ab0001b92b29,1.0,3.0,3.0,2.0,16.0,35.0,1.0,2.0,5.0
5bd494e5669ee1000144c587,2.0,1.0,2.0,1.0,5.0,28.0,2.0,1.0,1.0
5dd58f5c27c256000b44f756,1.0,2.0,3.0,4.0,15.0,32.0,1.0,2.0,5.0
5abe6156e1546900019bc55d,1.0,2.0,2.0,3.0,9.0,27.0,1.0,2.0,5.0
5e716f1e8a0abe09a2b6c71b,1.0,2.0,2.0,1.0,49.0,18.0,2.0,2.0,4.0
5c7ff86348022a0017755632,1.0,1.0,2.0,3.0,38.0,44.0,2.0,2.0,5.0
5dd90a3435582289230264c8,1.0,3.0,2.0,2.0,22.0,63.0,2.0,2.0,5.0
5d222195b134f70016d18fef,1.0,2.0,2.0,4.0,18.0,23.0,2.0,2.0,4.0
5e10f3356aab7c7a4df7e502,1.0,5.0,2.0,2.0,5.0,58.0,2.0,2.0,5.0
57c9c13079ad9b0001e416be,1.0,3.0,3.0,5.0,3.0,48.0,2.0,2.0,5.0
5e69a561db36bb013fed6ad9,1.0,1.0,3.0,4.0,43.0,46.0,2.0,2.0,5.0
5849061d0c097700012a1ed4,1.0,6.0,3.0,3.0,33.0,52.0,1.0,2.0,5.0
56c8915edfea6c000cb29c98,1.0,3.0,2.0,1.0,48.0,39.0,2.0,2.0,2.0
5e4dab4b294f660b80dd0943,1.0,3.0,4.0,1.0,23.0,38.0,1.0,2.0,5.0
570d30d942a1db000fc4cf87,1.0,2.0,1.0,5.0,15.0,57.0,2.0,2.0,5.0
5b2890f10ec82d0001d24b61,1.0,4.0,1.0,4.0,32.0,53.0,2.0,2.0,5.0
5da9fec949bab300155afb7f,1.0,7.0,2.0,2.0,32.0,45.0,2.0,2.0,5.0
5e85547fc0a35112943cc942,1.0,2.0,2.0,1.0,1.0,28.0,2.0,2.0,4.0
5de2da1693203f3075e3ad64,1.0,4.0,3.0,3.0,5.0,24.0,1.0,1.0,7.0
5b2a3d8ba884a20001e3c807,1.0,3.0,2.0,3.0,5.0,56.0,1.0,2.0,4.0
56f0393f3f71990005d0e66d,1.0,4.0,3.0,5.0,5.0,42.0,1.0,2.0,5.0
5b48f2d0ff7497000125165e,2.0,3.0,2.0,3.0,47.0,29.0,1.0,2.0,5.0
55f1d57632af74001217014d,2.0,1.0,4.0,4.0,5.0,24.0,2.0,2.0,5.0
5a69b952f561b400011e188d,1.0,3.0,2.0,3.0,14.0,48.0,1.0,2.0,5.0
5b11882a2f283900014b184b,1.0,4.0,3.0,5.0,12.0,31.0,1.0,2.0,5.0
5d41e832b0ca7200169d857e,1.0,5.0,3.0,6.0,5.0,82.0,1.0,2.0,5.0
5c5c7091ae14ac0001332137,1.0,5.0,2.0,2.0,46.0,51.0,1.0,2.0,5.0
55b47001fdf99b615b12d66c,1.0,5.0,2.0,4.0,5.0,60.0,1.0,2.0,5.0
5cd8c94c99e9d00001465e35,1.0,4.0,1.0,5.0,19.0,50.0,1.0,2.0,5.0
5ddf84eece1ce6effc504c35,1.0,3.0,2.0,1.0,38.0,37.0,2.0,2.0,5.0
5dec6b983ccb8a34a5a001cd,1.0,3.0,3.0,5.0,5.0,41.0,1.0,2.0,2.0
5aeb6910b4db26000104e095,1.0,3.0,3.0,3.0,38.0,27.0,1.0,2.0,5.0
